Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
3627045399,"Jun 17, 2020, 4:02:42 AM",Zone2 Run,Run,So frickin' slow,1531,3.07,138.0,6,false,,activities/3872045845.fit.gz,,,1531.0,1531.0,3076.800048828125,3.0999999046325684,2.009666919708252,20.31999969482422,20.020000457763672,236.89999389648438,255.8000030517578,5.300000190734863,0.00975039042532444,,,85.0,77.31991577148438,,126.62442779541016,,,205.0,,,6.0,,,,,,2.0,,,,,0.0,7.0,0.0,,1.0,3092.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3636754181,"Jun 19, 2020, 3:44:45 AM",Zone4 Morning Run,Run,"",2273,6.25,173.0,76,false,"",activities/3882439747.fit.gz,,,2273.0,2256.0,6254.60009765625,4.599999904632568,2.7724289894104004,169.51333618164062,168.81300354003906,239.3000030517578,410.20001220703125,15.800000190734863,0.01119176298379898,,,92.0,81.39543914794922,,160.83688354492188,,,495.0,,,76.0,,,,,,,,,,,0.0,,0.0,,1.0,6801.0,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3641136492,"Jun 20, 2020, 4:07:55 AM",Zone2 Run,Run,"",1334,2.52,138.0,5,false,"",activities/3887178656.fit.gz,,,1334.0,1263.0,2525.5,2.9000000953674316,1.9996041059494019,18.68000030517578,17.3799991607666,236.89999389648438,255.89999389648438,6.300000190734863,0.051474954932928085,,,84.0,72.28315734863281,,127.27164459228516,,,186.0,,,5.0,,,,,,3.0,,,,,0.0,10.0,0.0,,1.0,2555.5,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3646571254,"Jun 21, 2020, 2:34:33 AM",Morning Run - Kamenné vráta,Run,"",4692,13.04,190.0,261,false,"",activities/3893015715.fit.gz,,,4692.0,4578.0,13041.0,6.0,2.848623752593994,374.20556640625,373.0060119628906,239.1999969482422,563.0,17.399999618530273,0.009201748296618462,,,98.0,84.67185974121094,,174.61795043945312,,,1105.0,,,261.0,,,,,,8.0,,,,,0.0,197.0,0.0,,1.0,14076.5,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3676612051,"Jun 27, 2020, 4:14:33 AM",Threshold Run,Run,"",2990,9.16,180.0,126,false,"",activities/3925656157.fit.gz,,,2990.0,2942.0,9161.599609375,3.9000000953674316,3.11407208442688,20.200000762939453,22.700000762939453,213.6999969482422,225.60000610351562,5.300000190734863,-0.027287809178233147,,,88.0,83.34941864013672,,166.7528839111328,,,668.0,,,126.0,,,,,,7.0,,,,,0.0,93.0,0.0,,1.0,9173.400390625,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3691338058,"Jun 30, 2020, 3:52:21 AM",Morning Run - Trail half,Run,"",8330,22.09,185.0,437,false,"",activities/3941733376.fit.gz,,,8330.0,8149.0,22093.599609375,9.0,2.7112038135528564,546.280029296875,549.1799926757812,215.10000610351562,466.20001220703125,28.299999237060547,-0.01312597282230854,,,99.0,81.92539978027344,,172.59686279296875,,,1868.0,,,437.0,,,,,,9.0,,,,,0.0,407.0,0.0,,1.0,24389.30078125,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3743838175,"Jul 11, 2020, 3:06:42 AM",Morning Run,Run,,2921,7.14,186.0,160,false,"",activities/3999172242.fit.gz,,,2921.0,2889.0,7142.10009765625,5.199999809265137,2.472170352935791,356.55999755859375,29.65999984741211,239.3000030517578,573.0,21.200000762939453,4.577085018157959,,,121.0,79.55690002441406,,174.02774047851562,,,689.0,,,160.0,,,,,,,,,,,,,0.0,,1.0,8628.7998046875,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3743838353,"Jul 11, 2020, 4:04:21 AM",Morning Run,Run,,895,3.03,179.0,44,false,"",activities/3999172383.fit.gz,,,895.0,892.0,3030.300048828125,11.300000190734863,3.3971972465515137,0.0,263.1000061035156,283.79998779296875,546.9000244140625,3.200000047683716,-8.6823091506958,,,109.0,88.57762908935547,,169.82847595214844,,,206.0,,,44.0,,,,,,,,,,,,,0.0,,1.0,3027.800048828125,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3761985099,"Jul 14, 2020, 2:04:34 PM",Afternoon Run,Run,,775,3.02,196.0,38,false,"",activities/4019510038.fit.gz,,,775.0,765.0,3019.5,5.199999809265137,3.947058916091919,0.0,17.700000762939453,220.39999389648438,238.39999389648438,1.2000000476837158,-0.5861897468566895,,,97.0,87.47120666503906,,171.77093505859375,,,185.0,,,38.0,,,,,,,,,,,,,0.0,,1.0,2992.800048828125,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
3776525756,"Jul 17, 2020, 4:47:51 PM",Deti na bicykloch,Run,"",1765,3.45,172.0,28,false,"",activities/4035689305.fit.gz,,,1765.0,1677.0,3450.89990234375,3.799999952316284,2.05778169631958,13.511428833007812,5.611400127410889,215.10000610351562,224.1999969482422,7.699999809265137,0.22892579436302185,,,88.0,81.44952392578125,,149.1770782470703,,,277.0,,,28.0,,,,,,,,,,,0.0,,0.0,,1.0,3482.5,,,,,,,,,,,,,,,,6390988.0,,,,,,,,,,,,,,
